,Title,Genre,DomesticBox_Office,Month,Year
0,Avengers: Endgame,Action,858373000,4,2019
1,Black Panther,Action,700059566,2,2018
2,Avengers: Infinity War,Action,678815482,4,2018
3,Star Wars Ep. VIII: The Last Jedi,Adventure,620181382,12,2017
4,Incredibles 2,Adventure,608581744,6,2018
5,The Lion King,Adventure,543638043,7,2019
6,Rogue One: A Star Wars Story,Adventure,532177324,12,2016
7,Star Wars: The Rise of Skywalker,Adventure,515202542,12,2019
8,Beauty and the Beast,Musical,504014165,3,2017
9,Finding Dory,Adventure,486295561,6,2016
10,Frozen II,Adventure,477373578,11,2019
11,Toy Story 4,Adventure,434038008,6,2019
12,Captain Marvel,Action,426829839,3,2019
13,Jurassic World: Fallen Kingdom,Action,417719760,6,2018
14,Wonder Woman,Action,412563408,6,2017
15,Captain America: Civil War,Action,408084349,5,2016
16,Jumanji: Welcome to the Jungle,Adventure,404508916,12,2017
17,Spider-Man: Far From Home,Action,390532085,7,2019
18,Guardians of the Galaxy Vol 2,Action,389813101,5,2017
19,The Secret Life of Pets,Adventure,368384330,7,2016
20,The Jungle Book,Adventure,364001123,4,2016
21,Deadpool,Action,363070709,2,2016
22,Aladdin,Adventure,355559216,5,2019
23,Zootopia,Adventure,341268248,3,2016
24,Joker,Thriller/Suspense,335451311,10,2019
25,Aquaman,Action,335061807,12,2018
26,Spider-Man: Homecoming,Action,334201140,7,2017
27,Batman v Superman: Dawn of Justice,Action,330360194,3,2016
28,It,Horror,328828874,9,2017
29,Suicide Squad,Action,325100054,8,2016
30,Deadpool 2,Action,324591735,5,2018
31,Jumanji: The Next Level,Adventure,316831246,12,2019
32,Thor: Ragnarok,Action,315058289,11,2017
33,Dr. Seussâ The Grinch,Adventure,270620950,11,2018
34,Sing,Adventure,270329045,12,2016
35,Despicable Me 3,Adventure,264624300,6,2017
36,Moana,Musical,248757044,11,2016
37,Fantastic Beasts and Where to Find Them,Adventure,234037575,11,2016
38,Doctor Strange,Action,232641920,11,2016
39,Justice League,Action,229024295,11,2017
40,Logan,Action,226277068,3,2017
41,The Fate of the Furious,Action,225764765,4,2017
42,Mission: ImpossibleâFallout,Action,220159104,7,2018
43,Ant-Man and the Wasp,Action,216648740,7,2018
44,Bohemian Rhapsody,Drama,216303339,11,2018
45,A Star is Born,Drama,215288866,10,2018
46,Solo: A Star Wars Story,Adventure,213767512,5,2018
47,Venom,Action,213511408,10,2018
48,It: Chapter Two,Horror,211593228,9,2019
49,Coco,Musical,210460015,11,2017
50,Bad Boys For Life,Action,204417855,1,2020
51,Ralph Breaks The Internet,Adventure,201091711,11,2018
52,Spider-Man: Into The Spider-Verse 3D,Adventure,190173195,12,2018
53,Dunkirk,Action,190068280,7,2017
54,A Quiet Place,Horror,188024361,4,2018
55,Get Out,Horror,176040665,2,2017
56,The Lego Batman Movie,Adventure,175750384,2,2017
57,Us,Thriller/Suspense,175084580,3,2019
58,The Boss Baby,Adventure,175003033,3,2017
59,Crazy Rich Asians,Romantic Comedy,174532921,8,2018
